Timestamp,Region,Demand_MW,Solar_Generation_MW,Wind_Generation_MW,Hydro_Generation_MW,Thermal_Generation_MW,Frequency_Hz,Voltage_kV,Temperature_C,Humidity_%,WindSpeed_mps,Rainfall_mm
2026-07-01 00:00:00,North,3461.9,714.42,805.78,431.66,1480.99,49.9,403.51,33.2,43.8,7.0,7.7
2026-07-01 01:00:00,Central,1825.41,595.47,333.6,337.1,593.52,50.09,403.4,28.3,72.3,8.2,11.9
2026-07-01 02:00:00,East,1963.96,340.95,1080.29,286.34,500.0,50.04,413.92,32.9,58.8,4.5,2.1
2026-07-01 03:00:00,Central,4127.46,262.66,1161.88,763.32,1919.72,50.14,415.36,33.7,46.3,1.9,7.9
2026-07-01 04:00:00,Central,2866.31,521.33,779.44,234.68,1368.03,50.14,417.04,35.9,35.8,9.6,5.1
2026-07-01 05:00:00,North,2439.16,121.93,384.81,573.64,1448.6,50.0,406.0,39.7,47.4,11.4,13.3
2026-07-01 06:00:00,North,3824.92,161.73,426.56,386.86,2955.33,50.14,404.16,31.5,78.4,1.5,14.0
2026-07-01 07:00:00,South,3110.59,454.92,154.05,259.63,2378.88,50.03,416.43,38.3,68.1,6.3,2.4
2026-07-01 08:00:00,Central,2917.82,747.85,376.66,573.98,1161.51,50.08,419.11,37.6,42.3,11.0,1.6
2026-07-01 09:00:00,North,3266.91,844.26,176.79,471.05,1833.2,50.03,412.99,38.5,63.8,6.3,0.9
2026-07-01 10:00:00,Central,3543.2,703.48,195.82,616.49,2158.93,50.05,402.21,34.9,73.5,8.2,2.2
2026-07-01 11:00:00,Central,3245.71,306.15,310.92,325.25,2452.87,49.88,411.8,31.8,75.0,5.1,7.5
2026-07-01 12:00:00,East,3032.17,809.52,541.64,694.74,1014.09,50.12,406.21,29.9,64.0,10.9,3.4
2026-07-01 13:00:00,North,2495.98,576.8,916.39,658.74,500.0,50.13,398.79,36.7,81.6,4.8,8.6
2026-07-01 14:00:00,North,2023.3,365.31,263.95,566.41,957.22,49.83,419.11,37.0,64.4,2.2,8.2
2026-07-01 15:00:00,South,2440.71,633.26,417.45,380.03,1147.62,49.92,402.79,40.9,62.9,7.4,12.5
2026-07-01 16:00:00,South,4147.74,812.54,751.87,440.87,2283.3,50.11,404.71,34.9,32.7,7.1,9.9
2026-07-01 17:00:00,East,4132.69,830.74,899.07,627.79,1741.75,49.92,411.31,30.2,35.9,9.3,2.5
2026-07-01 18:00:00,North,3888.18,782.93,883.21,757.4,1569.27,49.9,416.12,30.8,69.5,2.9,1.9
2026-07-01 19:00:00,North,2987.99,384.12,737.29,236.49,1734.52,49.88,396.45,38.7,52.5,8.7,10.8
2026-07-01 20:00:00,East,3780.58,551.79,361.83,295.41,2477.18,49.85,408.81,31.5,77.9,9.8,8.1
2026-07-01 21:00:00,Central,3760.36,361.91,174.43,771.79,2572.94,50.12,402.81,35.6,36.4,3.2,4.9
2026-07-01 22:00:00,South,2700.3,125.24,514.73,635.56,1438.66,50.05,403.27,39.0,38.0,1.1,11.3
2026-07-01 23:00:00,East,1859.95,638.54,397.14,378.81,500.0,49.96,407.22,37.8,40.2,6.7,4.0
2026-07-02 00:00:00,South,3634.94,318.62,178.24,435.25,2653.48,49.81,419.4,30.6,32.5,5.2,12.9
2026-07-02 01:00:00,North,3505.63,428.28,517.22,259.96,2397.2,49.82,395.5,35.5,42.8,4.8,11.1
2026-07-02 02:00:00,East,2193.53,485.24,376.72,707.63,539.36,50.12,390.7,32.2,35.4,2.0,2.5
2026-07-02 03:00:00,North,2953.85,414.24,1016.12,709.43,860.95,50.11,412.93,29.8,74.1,11.5,14.1
2026-07-02 04:00:00,South,3981.55,665.12,780.1,463.35,2066.78,50.13,403.93,38.2,37.9,6.4,14.6
